Programme_Title,Original_DateTime,Show_DateTime,Venue,Category,Latitude,Longitude
AXA Presents #FOLLOWMi Sammi Cheng World Tour - Hong Kong 2019,"12-16, 18-21, 23-24, 26-27 Jul 2019 (Fri-Sat) 8:15pm",2019-01-23 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD Fear And Dreams Eason Chan In Concert 19/20 (Programme cancelled),"9-12, 14-17, 19-22, 24-27, 29-30, 31 December 2019 (9:30pm), 1 January 2020",2019-01-24 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
AXA Presents #FOLLOWMi Sammi Cheng World Tour - Hong Kong 2019,"12-16, 18-21, 23-24, 26-27 Jul 2019 (Fri-Sat) 8:15pm",2019-01-24 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD Insurance presents Jacky Cheung A Classic Tour - Finale‧Hong Kong,"11-13 (Fri-Sun), 15-17 (Tue - Thu), 19-21 (Sat-Mon), 23-25(Wed-Fri), 27-29 (Sun-Tue) Jan 2019 8:15pm",2019-01-24 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
Oldies Concert,25 Jan 2019 (Fri) 7:00pm,2019-01-25 7:00pm,Tai Po Civic Centre (Auditorium),Cultural Presentations & Film - Pop Concerts,22.4532,114.171
FWD Insurance presents Jacky Cheung A Classic Tour - Finale‧Hong Kong,"11-13 (Fri-Sun), 15-17 (Tue - Thu), 19-21 (Sat-Mon), 23-25(Wed-Fri), 27-29 (Sun-Tue) Jan 2019 8:15pm",2019-01-25 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD Fear And Dreams Eason Chan In Concert 19/20 (Programme cancelled),"9-12, 14-17, 19-22, 24-27, 29-30, 31 December 2019 (9:30pm), 1 January 2020",2019-01-25 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
Oldies Concert,26 Jan 2019 (Sat) 7:00pm,2019-01-26 7:00pm,Tai Po Civic Centre (Auditorium),Cultural Presentations & Film - Pop Concerts,22.4532,114.171
FWD Fear And Dreams Eason Chan In Concert 19/20 (Programme cancelled),"9-12, 14-17, 19-22, 24-27, 29-30, 31 December 2019 (9:30pm), 1 January 2020",2019-01-26 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD Fear And Dreams Eason Chan In Concert 19/20 (Programme cancelled),"9-12, 14-17, 19-22, 24-27, 29-30, 31 December 2019 (9:30pm), 1 January 2020",2019-01-27 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD Insurance presents Jacky Cheung A Classic Tour - Finale‧Hong Kong,"11-13 (Fri-Sun), 15-17 (Tue - Thu), 19-21 (Sat-Mon), 23-25(Wed-Fri), 27-29 (Sun-Tue) Jan 2019 8:15pm",2019-01-27 8:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
Raymond Young’s Forever Young Concert,28-29 January 2019 (Mon-Tue) 8pm,2019-01-28 8:00pm,Hong Kong City Hall (Concert Hall),Cultural Presentations & Film - Pop Concerts,22.2817,114.1583
FWD Insurance presents Jacky Cheung A Classic Tour - Finale‧Hong Kong,"11-13 (Fri-Sun), 15-17 (Tue - Thu), 19-21 (Sat-Mon), 23-25(Wed-Fri), 27-29 (Sun-Tue) Jan 2019 8:15pm",2019-01-28 8:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
Raymond Young’s Forever Young Concert,28-29 January 2019 (Mon-Tue) 8pm,2019-01-29 8:00pm,Hong Kong City Hall (Concert Hall),Cultural Presentations & Film - Pop Concerts,22.2817,114.1583
FWD Fear And Dreams Eason Chan In Concert 19/20 (Programme cancelled),"9-12, 14-17, 19-22, 24-27, 29-30, 31 December 2019 (9:30pm), 1 January 2020",2019-01-29 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
