名称,大类,经度,纬度,省份,地级市,区县,lon_round,lat_round,cell
石门甲道口,交通设施,113.939308,22.266947,香港特别行政区,香港特别行政区,离岛区,113.939,22.267,113.939_22.267
黄家围,交通设施,113.939431,22.274980000000003,香港特别行政区,香港特别行政区,离岛区,113.939,22.275,113.939_22.275
北停车场,交通设施,113.939164,22.314581,香港特别行政区,香港特别行政区,离岛区,113.939,22.315,113.939_22.315
四号停车场,交通设施,113.939175,22.314612,香港特别行政区,香港特别行政区,离岛区,113.939,22.315,113.939_22.315
香港国际机场P4多层专用停车场,交通设施,113.939223,22.315054,香港特别行政区,香港特别行政区,离岛区,113.939,22.315,113.939_22.315
香港国际机场P4多层停车场,交通设施,113.938704,22.315171,香港特别行政区,香港特别行政区,离岛区,113.939,22.315,113.939_22.315
富豪机场酒店,交通设施,113.938982,22.3164,香港特别行政区,香港特别行政区,离岛区,113.939,22.316,113.939_22.316
富豪机场酒店，畅达路,交通设施,113.938784,22.316325000000003,香港特别行政区,香港特别行政区,离岛区,113.939,22.316,113.939_22.316
环保园,交通设施,113.939161,22.366967,香港特别行政区,香港特别行政区,屯门区,113.939,22.367,113.939_22.367
机场空运中心,交通设施,113.929676,22.292209,香港特别行政区,香港特别行政区,离岛区,113.93,22.292,113.93_22.292
18区坟场,交通设施,113.941345,22.262644,香港特别行政区,香港特别行政区,离岛区,113.941,22.263,113.941_22.263
十八区坟场,交通设施,113.941327,22.26263,香港特别行政区,香港特别行政区,离岛区,113.941,22.263,113.941_22.263
逸东2号及3号,交通设施,113.940784,22.278978,香港特别行政区,香港特别行政区,离岛区,113.941,22.279,113.941_22.279
逸东村,交通设施,113.940824,22.278959,香港特别行政区,香港特别行政区,离岛区,113.941,22.279,113.941_22.279
逸东村巴士总站,交通设施,113.9409,22.278989,香港特别行政区,香港特别行政区,离岛区,113.941,22.279,113.941_22.279
二号检查闸,交通设施,113.94135,22.307605,香港特别行政区,香港特别行政区,离岛区,113.941,22.308,113.941_22.308
二号检查闸，畅连路,交通设施,113.941359,22.307782,香港特别行政区,香港特别行政区,离岛区,113.941,22.308,113.941_22.308
畅连路,交通设施,113.941163,22.307655,香港特别行政区,香港特别行政区,离岛区,113.941,22.308,113.941_22.308
香港国际机场P1停车场,交通设施,113.941092,22.309398,香港特别行政区,香港特别行政区,离岛区,113.941,22.309,113.941_22.309
香港国际机场P1专用停车场,交通设施,113.941146,22.309818,香港特别行政区,香港特别行政区,离岛区,113.941,22.31,113.941_22.31
一号客运大楼,交通设施,113.941181,22.31208,香港特别行政区,香港特别行政区,离岛区,113.941,22.312,113.941_22.312
机场,交通设施,113.941041,22.312401,香港特别行政区,香港特别行政区,离岛区,113.941,22.312,113.941_22.312
机场地铁站T3出入口,交通设施,113.941014,22.312386,香港特别行政区,香港特别行政区,离岛区,113.941,22.312,113.941_22.312
